firstName,lastName,birthDate,team,attributes,jerseyNum,positionDesc,yearsOfExperience
Jimmy,Butler,9/17/89,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 79, weight: 230}",22,[F],
Dewayne,Dedmon,8/16/89,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 85, weight: 245}",21,[C],
Marcus,Garrett,11/9/98,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 77, weight: 205}",0,[G],
Tyler,Herro,1/21/00,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 77, weight: 195}",14,[G],
Kyle,Lowry,3/27/86,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 73, weight: 196}",7,[G],
Caleb,Martin,10/1/95,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 77, weight: 205}",16,[F],
Markieff,Morris,9/3/89,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 81, weight: 245}",8,[F],
KZ,Okpala,4/30/99,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 80, weight: 215}",11,"[F, G]",
Duncan,Robinson,4/23/94,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 79, weight: 215}",55,[F],
Max,Strus,3/28/96,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 77, weight: 215}",31,"[G, F]",
P.J.,Tucker,5/10/85,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 77, weight: 245}",17,[F],
Gabe,Vincent,6/16/96,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 75, weight: 200}",2,[G],
Omer,Yurtseven,6/20/98,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}","{height: 83, weight: 275}",77,[C],
Grayson,Allen,10/8/95,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 76, weight: 198}",7,[G],
Giannis,Antetokounmpo,12/6/94,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 83, weight: 242}",34,[F],
Thanasis,Antetokounmpo,7/20/92,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 78, weight: 219}",43,[F],
Pat,Connaughton,1/8/93,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 77, weight: 209}",24,[G],
George,Hill,5/6/86,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 76, weight: 188}",3,[G],
Jrue,Holiday,6/14/90,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 75, weight: 205}",21,[G],
Georgios,Kalaitzakis,1/3/99,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 79, weight: 192}",18,[F],
Brook,Lopez,4/6/88,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 85, weight: 282}",11,[C],
Sandro,Mamukelashvili,5/22/99,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 81, weight: 240}",54,"[F, C]",
Khris,Middleton,8/16/91,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 79, weight: 222}",22,[F],
Jordan,Nwora,9/8/98,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 80, weight: 225}",13,[F],
Justin,Robinson,10/11/97,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}","{height: 73, weight: 195}",55,[G],
Malik,Beasley,11/27/96,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 76, weight: 187}",5,[G],
Patrick,Beverley,7/14/88,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 73, weight: 180}",22,[G],
Leandro,Bolmaro,9/11/00,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 78, weight: 200}",9,[F],
Anthony,Edwards,8/5/01,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 76, weight: 225}",1,[G],
Jake,Layman,3/7/94,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 80, weight: 209}",10,[F],
Jaden,McDaniels,9/29/00,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 81, weight: 185}",3,[F],
Jordan,McLaughlin,4/11/96,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 71, weight: 185}",6,[G],
Jaylen,Nowell,7/8/99,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 76, weight: 201}",4,[G],
Josh,Okogie,9/1/98,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 76, weight: 213}",20,[G],
Taurean,Prince,3/25/94,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 79, weight: 218}",12,[F],
Naz,Reid,8/28/99,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 81, weight: 264}",11,"[C, F]",
D'Angelo,Russell,2/24/96,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 76, weight: 193}",0,[G],
Karl-Anthony,Towns,11/17/95,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 83, weight: 248}",32,"[C, F]",
Jarred,Vanderbilt,4/4/99,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 81, weight: 214}",8,[F],
McKinley,Wright IV,10/26/98,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}","{height: 71, weight: 192}",25,[G],
Nickeil,Alexander-Walker,9/1/98,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 77, weight: 205}",6,[G],
Devonte',Graham,2/24/95,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 73, weight: 195}",4,[G],
Josh,Hart,3/7/95,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 77, weight: 215}",3,[G],
Jaxson,Hayes,5/24/00,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 83, weight: 220}",10,"[C, F]",
Brandon,Ingram,9/1/97,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 80, weight: 190}",14,[F],
Herbert,Jones,10/7/98,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 79, weight: 206}",5,[F],
Kira,Lewis Jr.,4/7/01,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 73, weight: 170}",13,[G],
Naji,Marshall,1/25/98,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 79, weight: 220}",8,[F],
Trey,Murphy III,6/19/00,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 80, weight: 206}",25,[F],
Tomas,Satoransky,10/31/91,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 79, weight: 210}",31,[G],
Garrett,Temple,5/10/86,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 77, weight: 195}",41,"[G, F]",
Jonas,Valanciunas,5/8/92,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}","{height: 83, weight: 265}",17,[C],
RJ,Barrett,6/15/00,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 78, weight: 214}",9,"[F, G]",
Alec,Burks,7/21/91,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 78, weight: 214}",18,[G],
Evan,Fournier,10/30/92,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 78, weight: 205}",13,"[G, F]",
Taj,Gibson,6/26/85,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 81, weight: 232}",67,[F],
Quentin,Grimes,5/10/00,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 76, weight: 210}",6,[G],
Kevin,Knox II,8/10/99,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 79, weight: 215}",20,[F],
Miles,McBride,9/7/00,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 73, weight: 195}",2,[G],
Immanuel,Quickley,6/16/99,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 75, weight: 190}",5,[G],
Julius,Randle,12/2/94,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 80, weight: 250}",30,"[F, C]",
Mitchell,Robinson,3/31/98,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 85, weight: 240}",23,"[C, F]",
Derrick,Rose,10/6/88,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 74, weight: 200}",4,[G],
Wayne,Selden,10/1/94,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 76, weight: 232}",11,[G],
Jericho,Sims,10/22/98,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 81, weight: 250}",45,[C],
Obi,Toppin,3/6/98,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 81, weight: 220}",1,[F],
Kemba,Walker,5/9/90,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}","{height: 73, weight: 184}",8,[G],
Darius,Bazley,6/11/00,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 80, weight: 208}",7,"[F, G]",
Gabriel,Deck,2/9/95,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 78, weight: 231}",6,[F],
Luguentz,Dort,4/19/99,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 75, weight: 215}",5,[G],
Derrick,Favors,7/17/91,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 81, weight: 265}",15,[F],
Josh,Giddey,10/10/02,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 80, weight: 205}",3,[G],
Shai,Gilgeous-Alexander,7/12/98,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 78, weight: 180}",2,"[G, F]",
Ty,Jerome,7/8/97,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 77, weight: 195}",16,"[G, F]",
Vit,Krejci,6/19/00,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 80, weight: 195}",27,[G],
Theo,Maledon,6/11/01,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 76, weight: 175}",11,[G],
Tre,Mann,2/4/01,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 75, weight: 178}",23,[G],
Mike,Muscala,7/3/91,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 82, weight: 240}",33,"[F, C]",
Aleksej,Pokusevski,12/26/01,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 85, weight: 190}",17,[C],
Jeremiah,Robinson-Earl,11/4/00,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 80, weight: 242}",50,[F],
Isaiah,Roby,2/5/98,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 80, weight: 230}",22,[F],
Kenrich,Williams,12/2/94,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}","{height: 78, weight: 210}",34,"[G, F]",
Cole,Anthony,5/17/00,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 75, weight: 185}",50,[G],
Mo,Bamba,5/11/98,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 85, weight: 231}",5,[C],
Ignas,Brazdeikis,1/10/99,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 78, weight: 221}",17,[F],
Wendell,Carter Jr.,4/15/99,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 82, weight: 270}",34,"[C, F]",
R.J.,Hampton,2/7/01,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 76, weight: 175}",13,[G],
Robin,Lopez,4/6/88,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 85, weight: 281}",33,[C],
Terrence,Ross,2/7/91,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 78, weight: 206}",31,"[G, F]",
Jalen,Suggs,6/4/01,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 77, weight: 205}",4,[G],
Franz,Wagner,8/27/01,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 82, weight: 220}",22,[F],
Moritz,Wagner,4/26/97,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}","{height: 83, weight: 245}",21,"[F, C]",
Charles,Bassey,10/28/00,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 81, weight: 230}",23,"[C, F]",
Seth,Curry,8/26/90,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 74, weight: 185}",31,[G],
Andre,Drummond,8/11/93,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 82, weight: 279}",1,[C],
Joel,Embiid,3/18/94,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 85, weight: 280}",21,"[C, F]",
Danny,Green,6/26/87,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 78, weight: 215}",14,[G],
Tobias,Harris,7/16/92,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 79, weight: 226}",12,[F],
Aaron,Henry,9/1/99,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 77, weight: 210}",50,[F],
Isaiah,Joe,7/1/99,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 76, weight: 165}",7,[G],
Furkan,Korkmaz,7/23/97,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 79, weight: 202}",30,"[G, F]",
Tyrese,Maxey,11/4/00,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 74, weight: 200}",0,[G],
Georges,Niang,6/17/93,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 79, weight: 230}",20,[F],
Paul,Reed,6/16/99,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 81, weight: 210}",44,[F],
Jaden,Springer,9/25/02,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 76, weight: 202}",11,[G],
Matisse,Thybulle,3/6/97,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}","{height: 77, weight: 201}",22,"[G, F]",
Deandre,Ayton,7/23/98,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 83, weight: 250}",22,[C],
Devin,Booker,11/2/96,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 77, weight: 206}",1,[G],
Mikal,Bridges,9/1/96,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 78, weight: 209}",25,[F],
Jae,Crowder,7/10/90,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 78, weight: 235}",99,[F],
Chandler,Hutchison,4/26/96,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 78, weight: 210}",35,"[F, G]",
Cameron,Johnson,3/6/96,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 80, weight: 210}",23,[F],
Frank,Kaminsky,4/5/93,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 85, weight: 240}",8,"[F, C]",
JaVale,McGee,1/24/88,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 85, weight: 270}",0,"[C, F]",
Abdel,Nader,9/27/93,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 77, weight: 225}",11,[F],
Chris,Paul,5/10/85,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 73, weight: 175}",3,[G],
Cameron,Payne,8/11/94,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 73, weight: 183}",15,[G],
Elfrid,Payton,2/24/94,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 75, weight: 195}",2,[G],
Landry,Shamet,3/13/97,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 76, weight: 190}",14,[G],
Jalen,Smith,3/16/00,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}","{height: 82, weight: 215}",10,"[F, C]",
Greg,Brown III,8/31/01,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 79, weight: 206}",4,[F],
Robert,Covington,12/18/90,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 79, weight: 209}",33,[F],
CJ,Elleby,6/15/00,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 78, weight: 200}",16,"[F, G]",
Damian,Lillard,7/17/90,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 74, weight: 195}",0,[G],
Nassir,Little,2/12/00,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 77, weight: 220}",9,"[F, G]",
CJ,McCollum,9/21/91,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 75, weight: 190}",3,[G],
Ben,McLemore,2/13/93,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 75, weight: 195}",23,[G],
Larry,Nance Jr.,1/4/93,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 79, weight: 245}",11,"[F, C]",
Jusuf,Nurkic,8/25/94,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 83, weight: 290}",27,[C],
Norman,Powell,5/26/93,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 75, weight: 215}",24,[G],
Anfernee,Simons,6/9/99,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 75, weight: 181}",1,[G],
Dennis,Smith Jr.,11/24/97,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 74, weight: 205}",10,[G],
Cody,Zeller,10/8/92,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}","{height: 83, weight: 240}",40,"[F, C]",
Marvin,Bagley III,3/13/99,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 83, weight: 235}",35,[F],
Harrison,Barnes,6/3/92,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 80, weight: 225}",40,[F],
Terence,Davis,5/18/97,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 76, weight: 201}",3,[G],
De'Aaron,Fox,12/19/97,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 75, weight: 185}",5,[G],
Tyrese,Haliburton,3/1/00,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 77, weight: 185}",0,[G],
Maurice,Harkless,5/12/93,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 79, weight: 220}",8,"[F, G]",
Buddy,Hield,12/20/92,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 76, weight: 220}",24,[G],
Richaun,Holmes,10/16/93,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 82, weight: 235}",22,[F],
Alex,Len,6/17/93,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 85, weight: 250}",25,[C],
Davion,Mitchell,9/4/98,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 73, weight: 202}",15,[G],
Tristan,Thompson,3/15/91,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}","{height: 81, weight: 254}",13,"[C, F]",
Keita,Bates-Diop,1/26/96,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 80, weight: 229}",31,[F],
Drew,Eubanks,2/1/97,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 81, weight: 245}",14,"[F, C]",
Bryn,Forbes,7/24/93,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 74, weight: 205}",7,[G],
Keldon,Johnson,10/11/99,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 78, weight: 220}",3,"[F, G]",
Tre,Jones,1/10/00,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 73, weight: 185}",33,[G],
Jock,Landale,10/27/95,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 83, weight: 255}",34,[C],
Doug,McDermott,1/5/92,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 79, weight: 225}",17,[F],
Dejounte,Murray,9/19/96,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 76, weight: 180}",5,[G],
Jakob,Poeltl,10/16/95,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 85, weight: 245}",25,[C],
Joshua,Primo,12/22/02,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 76, weight: 189}",11,[G],
Devin,Vassell,8/23/00,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 77, weight: 200}",24,"[G, F]",
Lonnie,Walker IV,12/16/98,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 76, weight: 204}",1,"[G, F]",
Derrick,White,7/2/94,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 76, weight: 190}",4,[G],
Thaddeus,Young,6/25/88,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}","{height: 80, weight: 235}",30,[F],
Precious,Achiuwa,9/19/99,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 80, weight: 225}",5,[F],
OG,Anunoby,7/19/97,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 79, weight: 232}",3,[F],
Dalano,Banton,11/5/99,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 79, weight: 204}",45,[F],
Scottie,Barnes,8/2/01,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 79, weight: 225}",4,[F],
Khem,Birch,10/1/92,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 81, weight: 233}",24,[C],
Isaac,Bonga,11/9/99,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 80, weight: 180}",17,[G],
Chris,Boucher,1/11/93,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 81, weight: 200}",25,"[F, C]",
Justin,Champagnie,6/30/01,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 78, weight: 206}",11,"[G, F]",
Goran,Dragic,5/10/86,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 75, weight: 190}",1,[G],
Malachi,Flynn,5/11/98,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 73, weight: 175}",22,[G],
Svi,Mykhailiuk,6/9/97,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 79, weight: 205}",14,"[G, F]",
Gary,Trent Jr.,1/17/99,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 77, weight: 209}",33,"[G, F]",
Fred,VanVleet,2/28/94,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}","{height: 73, weight: 197}",23,[G],
Bojan,Bogdanovic,4/21/89,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 79, weight: 226}",44,[F],
Jared,Butler,8/23/00,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 75, weight: 193}",13,[G],
Jordan,Clarkson,6/10/92,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 76, weight: 194}",0,[G],
Mike,Conley,10/14/87,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 73, weight: 175}",11,[G],
Malik,Fitts,10/25/01,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 77, weight: 230}",24,[F],
Trent,Forrest,6/12/98,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 76, weight: 210}",3,[G],
Rudy,Gobert,6/28/92,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 85, weight: 258}",27,[C],
Elijah,Hughes,3/10/98,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 77, weight: 215}",33,[G],
Joe,Ingles,10/7/87,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}","{height: 80, weight: 220}",2,"[F, G]",
